artista;quantidade
The Killers;29
The Strokes;21
Selena Gomez;21
The Beatles;17
Phoebe Bridgers;16
John Mayer;15
Miley Cyrus;15
Fall Out Boy;14
Jonas Brothers;13
Demi Lovato;13
Mac Miller;12
Hayley Williams;12
Lorde;12
The Weeknd;11
Olivia Rodrigo;11
Bridgit Mendler;11
Car Seat Headrest;11
Paramore;10
Imagine Dragons;10
Bastille;10
Joshua Bassett;10
Ashley Tisdale;9
James Morrison;8
No Doubt;8
Wallows;8
Oasis;8
Carly Rae Jepsen;7
Bruno Mars;7
Coldplay;7
Mallu Magalhães;7
Manu Gavassi;7
Lord Huron;7
Sabrina Carpenter;6
Billy Joel;6
Anavitória;6
The Smiths;6
Avenged Sevenfold;6
Smashing Pumpkins;5
Rex Orange County;5
Anitta;5
Luísa Sonza;5
The Fray;5
Harry Styles;5
Post Malone;5
Maroon 5;5
Ed Sheeran;5
Vanessa Hudgens;5
Tracy Chapman;5
Finneas;5
OneRepublic;5
Lily Allen;5
Gwen Stefani;4
Shawn Mendes;4
Villagers;4
Wilco;4
Catfish And The Bottlemen;4
Kings Of Leon;4
Avril Lavigne;4
David Bowie;4
Brandon Flowers;4
Led Zeppelin;4
Weezer;4
Alicia Keys;4
Jason Mraz;4
The War On Drugs;4
Zedd;4
Banda do Mar;4
Arcade Fire;4
Arlo Parks;4
Vance Joy;4
Lagum;4
Paul McCartney;4
Jason Derulo;4
Fifth Harmony;3
One Direction;3
Incubus;3
Travis;3
The 1975;3
Red Hot Chili Peppers;3
Jack Harlow;3
The Kid LAROI;3
Kid Cudi;3
Bleachers;3
LCD Soundsystem;3
X Ambassadors;3
Pearl Jam;3
Sting;3
The Lumineers;3
Sasha Alex Sloan;3
Julia Michaels;3
The Offspring;3
Zimbra;3
Pulp;3
Zeeba;3
Muse;3
Radiohead;3
Pink Floyd;3
AC/DC;3
Death Cab For Cutie;3
Lucy Dacus;3
Big Thief;3
Elliott Smith;3
Gusttavo Lima;3
Banda Calypso;3
Conan Gray;3
Taylor Swift;3
Mark Ronson;3
Victoria Justice / Victorious;3
Juice WRLD;3
Hozier;3
Adele;3
Powfu;3
Plain White T's;3
Ariana Grande;3
Ja Rule;3
Tiago Iorc;2
Rachel Platten;2
Greta Van Fleet;2
Sara Bareilles;2
Panic! At The Disco;2
Khalid;2
Travis Scott;2
5 Seconds Of Summer;2
Heart;2
Shania Twain;2
Céline Dion;2
Aerosmith;2
Simple Minds;2
Green Day;2
George Harrison;2
The Police;2
Fleetwood Mac;2
Cage The Elephant;2
Sam Smith;2
Niall Horan;2
Lizzo;2
Juliette;2
Lauv;2
José González;2
Snail Mail;2
Elvis Costello;2
The Beach Boys;2
Chico Buarque;2
Janelle Monáe;2
The Cure;2
Queen;2
Cyndi Lauper;2
Corinne Bailey Rae;2
Cher Lloyd;2
Belchior;2
Beirut;2
Beabadoobee;2
Ashlee Simpson;2
Charlie Puth;2
Aaliyah;2
AVICII;2
4 Non Blondes;2
Anderson .Paak;2
Jon Bellion;2
The Decemberists;2
Jon Hopkins;2
Bright Eyes;2
System of a Down;2
(Sandy) Alex G;2
Queens Of The Stone Age;2
White Stripes;2
Jeremy Zucker;2
Jaden Smith;2
Clean Bandit;2
Iggy Azalea;2
Lexa;2
OutroEu;2
Zé Vaqueiro;2
Pedro Sampaio;2
Julieta Venegas;2
Chloe & Halle;2
John Lennon;2
Metallica;2
Elton John;2
Frank Ocean;2
Neutral Milk Hotel;2
Whitesnake;2
Louis Tomlinson;2
Lil Nas X;2
The Replacements;2
Jessie J;2
Lenny Kravitz;2
Snow Patrol;2
Simple Plan;2
Benny Blanco;2
Gloria Groove;2
The Cranberries;2
Lindsay Lohan;2
This Is the Kit;2
Imogen Heap;2
BTS;2
Macy Gray;2
Elle King;2
Nelly;2
Foo Fighters;2
Macklemore & Ryan Lewis;2
Spice Girls;2
Pocah;2
High School Musical: The Musical: The Series;2
Big Red Machine;2
Robin Thicke;2
Nelly Furtado;2
Christina Aguilera;2
O Terno;2
Britney Spears;2
LeAnn Rimes;2
Russ;2
DJ Snake;2
Hilary Duff;2
Cashmere Cat;2
The Wanted;1
Nick Jonas;1
Razorlight;1
Interpol;1
Kodaline;1
Foster The People;1
Big Sean;1
Belle & Sebastian;1
Rod Stewart;1
Birdy;1
Prince;1
CPM 22;1
Arctic Monkeys;1
Mariah Carey;1
Roxette;1
Bruce Hornsby And The Range;1
Reamonn;1
Gerry Rafferty;1
Mr Mister;1
Halestorm;1
Stereophonics;1
The Verve;1
Suede;1
Seether;1
The Script;1
Def Leppard;1
Electric Light Orchestra;1
Stone Temple Pilots;1
Tears For Fears;1
Seals & Crofts;1
Player;1
Crowded House;1
Toto;1
Jimmy Eat World;1
Daniel Powter;1
Foreigner;1
Kansas;1
Hailee Steinfeld;1
Placebo;1
BLACKPINK;1
Hole;1
Baco Exu do Blues;1
Chico Cesar;1
Lynyrd Skynyrd;1
The Academic;1
Peter Gabriel;1
Broken Bells;1
Alex Turner;1
Trevor Daniel;1
Clairo;1
Eminem;1
Foxes;1
Gorillaz;1
Marina Sena;1
Marshmello;1
J Balvin;1
Phoenix;1
Sonic Youth;1
The Weather Station;1
Nick Lowe;1
Ghostface Killah;1
Yeah Yeah Yeahs;1
Iron Maiden;1
Jack White;1
Fleet Foxes;1
Cee Lo Green;1
Chance The Rapper;1
Blur;1
Bruce Springsteen;1
Sufjan Stevens;1
Miguel;1
M.I.A.;1
KSI;1
R3hab;1
Bryce Vine;1
JP Cooper;1
Lany;1
Louis The Child;1
Deafheaven;1
3OH!3;1
G-Eazy;1
Tiësto;1
Alesso;1
Skrillex;1
Alok;1
Orla Gartland;1
Black Eyed Peas;1
Juan Luis Guerra;1
De La Ghetto;1
Lucy Alves;1
Plutão Já Foi Planeta;1
Sorriso Maroto;1
Péricles;1
Evaluna Montaner;1
Pedro Capó;1
Paulinho Moska;1
Fiuk;1
Xamã;1
Gustavo Mioto;1
Israel e Rodolffo;1
Projota;1
Joelma Calypso;1
Myke Towers;1
Karol Conka;1
Belinda;1
Sandy;1
Ozuna;1
Anahí;1
Kali Uchis;1
ZAYN;1
Morgan Wallen;1
Gracie Abrams;1
Bruno e Marrone;1
Wire;1
Scarlett Johansson;1
Bob Dylan;1
Joji;1
Jimi Hendrix;1
Ellie Goulding;1
Tame Impala;1
Soundgarden;1
Thirty Seconds To Mars;1
Christina Perri;1
Rita Ora;1
Cássia Eller;1
Hayley Kiyoko;1
Matchbox Twenty;1
Eric Clapton;1
João Mineiro e Marciano;1
Michael Bublé;1
Damien Rice;1
Claudinho & Buchecha;1
Lady A;1
Os Paralamas do Sucesso;1
Chris Brown;1
Beyoncé;1
3 Doors Down;1
Toquinho;1
Dulce María;1
Marisa Monte;1
Silk City;1
The Doors;1
Tim Maia;1
Rolling Stones;1
Mac DeMarco;1
Backstreet Boys;1
Jenny Lewis;1
Ben Howard;1
Dermot Kennedy;1
The Roots;1
Natalia Lafourcade;1
Tom Misch;1
Kevin Morby;1
Ty Dolla $ign;1
The Avett Brothers;1
The Shins;1
Cat Stevens;1
Tegan And Sara;1
Jessie Ware;1
Aurora;1
Patti Labelle;1
Portugal. The Man;1
Tom Petty;1
Flume;1
Daya;1
The Cars;1
INXS;1
Dan + Shay;1
The Clash;1
Keane;1
Starship;1
Soft Cell;1
Sofia Carson;1
Rauw Alejandro;1
Charli XCX;1
The Pussycat Dolls;1
Florence And The Machine;1
Madonna;1
Justin Bieber;1
Sia;1
Dua Lipa;1
Billie Eilish;1
Julie London;1
Lauryn Hill;1
Mario;1
Rizzle Kicks;1
Ella Henderson;1
John Newman;1
Kiesza;1
Thundercat;1
Alice Merton;1
DJ Khaled;1
Jackson 5;1
Lukas Graham;1
MØ;1
Disclosure;1
Pharrell Williams;1
Magic!;1
George Ezra;1
Kygo;1
Declan McKenna;1
Rodrigo Amarante;1
Tuyo;1
The Knocks;1
Bhaskar;1
Wanessa Camargo;1
Bruno Martini;1
Masked Wolf;1
Icona Pop;1
Now United;1
Tones and I;1
Claudia Leitte;1
Illenium;1
Bad Bunny;1
Bazzi;1
Ray J;1
T-Pain;1
Whindersson Nunes;1
Lou Reed;1
Van Morrison;1
Naiara Azevedo;1
Solange Almeida;1
Thiaguinho;1
Lisa Marie Presley;1
Brian Mcknight;1
Julio Iglesias;1
Marc Anthony;1
Latino;1
Wesley Safadão;1
Fábio Jr;1
Jessica Simpson;1
Mary J. Blige;1
Aretha Franklin;1
Blake Shelton;1
Cher;1
Jhené Aiko;1
Solange;1
Janet Jackson;1
Fergie;1
Alex & Sierra;1
Marcelo Jeneci;1
Gotye;1
Jeff Buckley;1
XXXTentacion;1
Halsey;1
Lauren Jauregui;1
Kid Abelha;1
Guns N' Roses;1
Dennis Dj;1
Kanye West;1
Kendrick Lamar;1
Luis Fonsi;1
Pineapple;1
Engenheiros do Hawaii;1
Los Hermanos;1
