song;artist;pointer_id
;Selena Gomez;3ade68b8g6ddf80b3
;Lorde;3ade68b8g79fd30b3
;Luísa Sonza;3ade68b8g307001b3
;Paramore;3ade68b8g77f4afa3
;Miley Cyrus;3ade68b8g7f22f0b3
;The Weeknd;3ade68b8g86e101b3
;Ed Sheeran;3ade68b8gd65050b3
;Imagine Dragons;3ade68b8g4ecdb0b3
;Rex Orange County;3ade68b8g41e1d0b3
;Lily Allen;3ade68b8g383340b3
;Mac Miller;3ade68b8gd77da0b3
;Post Malone;3ade68b8g1f8fd0b3
;Coldplay;3ade68b8ge8b16fa3
;Maroon 5;3ade68b8gf2c100b3
;Hayley Williams;3ade68b8g6364f0b3
;Phoebe Bridgers;3ade68b8gee4201b3
;Foxes;3ade68b8gbd6a90b3
;The Killers;3ade68b8g616201b3
;The Strokes;3ade68b8g4be5e0b3
;John Mayer;3ade68b6gdecceda3
;Niall Horan;3ade68b8g52aeb0b3
;The Beatles;3ade68b4g5d96eda3
;Bastille;3ade68b8g789f00b3
;Fall Out Boy;3ade68b8ga6dd10b3
;Oasis;3ade68b6gcacdeda3
;James Morrison;3ade68b7gdc76bea3
;The Smiths;3ade68b6gb5cfeda3
;Sabrina Carpenter;3ade68b8gbde970b3
;Metallica;3ade68b6g570deda3
;Vance Joy;3ade68b8g5d0d50b3
;Joshua Bassett;3ade68b8g9064f0b3
;Finneas;3ade68b8g6fc0e0b3
;Manu Gavassi;3ade68b8g81cfd0b3
;Gracie Abrams;3ade68b8gf06ff0b3
;Brandon Flowers;3ade68b8g065a70b3
;Lord Huron;3ade68b8gc86a70b3
;Jon Bellion;3ade68b8g4786a0b3
