song;artist;pointer_id
999;Selena Gomez;3ade68b8gb35301b3
A World Alone;Lorde;
See You Again;Miley Cyrus;
Delicate;Taylor Swift;
Sweet Creature;Harry Styles;
The Hills;The Weeknd;
Seeing Blind;Niall Horan;
Last Hope;Paramore;
Over Those Hills;Hayley Williams;
Finally/Beautiful Stranger;Halsey;
Shiver;Coldplay;
A Little Bit Longer;Jonas Brothers;
Follow You;Imagine Dragons;
Rumors;Lizzo;
Trigger Bang;Lily Allen;
Underdog;Alicia Keys;
Champagne Supernova;Oasis;
Bob Dylan;Fall Out Boy;
Laura Palmer;Bastille;
Hurricane;Thirty Seconds to Mars;
Brazil;Declan McKenna;
Lucid Dreams;Juice Wrld;
It Ain't Me;Kygo;
Fast Car;Tracy Chapman;
The Middle;Zedd;
Use Somebody;Kings of Leon;
Budapest;George Ezra;
Rude;Magic!;
What you want;Twoo Door Cinema Club;
Anything;Catfish and the Bottlemen;
