song;artist;pointer_id
;Snoop Dogg;3ade68b8g255e2fa3
;The Replacements;3ade68b8g24befea3
;George Harrison;3ade68b6ge7faeda3
;Morgan Wallen;3ade68b8g4b44f0b3
;Taio Cruz;3ade68b8g7322afa3
;Julieta Venegas;3ade68b7ge9af3ea3
;Tulipa Ruiz;3ade68b8g43c8bfa3
;Marília Mendonça;3ade68b8g686780b3
;Van Morrison;3ade68b7gfcd12ea3
;Arlo Parks;3ade68b8ga0c2f0b3
;Ella Henderson;3ade68b8g7eea50b3
;The Fray;3ade68b8g99c4ffa3
;Jeff Buckley;3ade68b7gdc950ea3
;Tracy Chapman;3ade68b5g3878eda3
;Olly Murs;3ade68b8gbe2d00b3
;Greyson Chance;3ade68b8g85cad0b3
;Dulce María;3ade68b8g2685bfa3
;Pedro Sampaio;3ade68b8g2c45f0b3
;Wesley Safadão;3ade68b8gb77390b3
